previous,age,income,education,reside,gender,children,region
No,40,Less than 25,Some college,11,Female,0,West
No,48,75+,Less than highschool,9,Female,2,West
No,60,50-74,Highschool,7,Female,3,West
No,40,50-74,Highschool,5,Female,0,West
No,48,75+,Some college,13,Female,2,West
No,48,25-49,College,10,Female,2,West
No,34,50-74,Highschool,4,Female,0,West
No,44,25-49,Postgraduate,8,Female,2,West
No,60,75+,Highschool,11,Female,0,West
No,65,50-74,Some college,13,Female,1,West
No,29,Less than 25,Some college,3,Female,0,West
No,32,Less than 25,Highschool,8,Female,1,West
No,47,75+,Less than highschool,14,Female,2,West
No,36,Less than 25,Some college,15,Female,1,West
No,43,50-74,Highschool,10,Female,3,West
No,45,75+,Postgraduate,13,Female,2,West
No,41,75+,Some college,8,Female,2,West
No,42,75+,Less than highschool,11,Female,1,West
No,37,75+,Less than highschool,7,Female,3,West
No,44,75+,Some college,8,Female,2,West
No,39,75+,Some college,6,Female,0,West
No,48,75+,Less than highschool,13,Female,3,West
No,20,25-49,Highschool,7,Female,0,West
No,54,75+,College,12,Female,1,West
No,45,50-74,College,9,Female,1,West
No,46,75+,Highschool,5,Female,3,West
No,48,50-74,Less than highschool,11,Female,0,West
No,29,25-49,College,11,Female,0,West
No,49,75+,College,3,Female,2,West
No,56,75+,Highschool,6,Female,2,West
No,48,50-74,College,1,Female,2,West
No,35,25-49,Postgraduate,8,Female,0,West
No,62,75+,Less than highschool,6,Female,2,West
Yes,51,25-49,Postgraduate,5,Female,2,West
No,33,25-49,Some college,8,Female,1,West
No,53,75+,Less than highschool,5,Female,2,West
No,51,75+,Highschool,10,Female,2,West
No,43,75+,College,7,Female,0,West
No,59,75+,College,9,Female,2,West
No,42,Less than 25,Some college,9,Female,0,West
No,20,50-74,Postgraduate,6,Female,0,West
No,80,75+,College,8,Female,2,West
No,45,50-74,Postgraduate,14,Female,2,West
No,32,25-49,Highschool,3,Female,1,West
No,65,50-74,Highschool,10,Female,2,West
No,63,50-74,Postgraduate,10,Female,3,West
No,43,50-74,College,8,Female,0,West
No,39,75+,Less than highschool,13,Female,1,West
No,41,50-74,College,10,Female,0,West
No,40,75+,College,7,Female,1,West
No,29,50-74,Highschool,7,Female,0,West
No,48,25-49,College,12,Female,2,West
Yes,57,25-49,Less than highschool,6,Female,2,West
No,17,Less than 25,Postgraduate,4,Female,0,West
No,25,Less than 25,College,9,Female,0,West
No,49,75+,Some college,11,Female,0,West
No,43,25-49,Highschool,13,Female,1,West
No,39,25-49,Less than highschool,9,Female,0,West
No,55,75+,Postgraduate,13,Female,0,West
No,73,75+,Highschool,13,Female,2,West
No,22,Less than 25,Highschool,10,Female,0,West
No,30,Less than 25,Less than highschool,7,Female,0,West
No,30,Less than 25,Postgraduate,14,Female,0,West
No,51,75+,Highschool,11,Female,3,West
No,42,Less than 25,College,3,Female,0,West
No,22,Less than 25,Highschool,10,Female,0,West
No,50,25-49,Postgraduate,7,Female,1,West
No,54,75+,College,8,Female,2,West
No,60,75+,Less than highschool,11,Female,2,West
No,56,50-74,Less than highschool,9,Female,2,West
Yes,39,Less than 25,Some college,11,Female,1,West
No,57,50-74,College,16,Female,2,West
No,51,75+,College,10,Female,2,West
No,57,75+,Highschool,8,Female,2,West
No,38,50-74,Less than highschool,10,Female,2,West
No,29,Less than 25,Some college,11,Female,0,West
No,44,75+,College,9,Female,0,West
No,37,25-49,Postgraduate,16,Female,0,West
No,23,Less than 25,Some college,9,Female,0,West
No,17,Less than 25,College,13,Female,0,West
No,50,75+,Some college,8,Female,3,West
No,34,75+,Some college,7,Female,1,West
No,55,75+,Some college,13,Female,0,West
No,51,75+,Some college,6,Female,1,West
No,42,25-49,College,8,Female,2,West
No,54,50-74,Highschool,3,Female,2,West
No,67,75+,Postgraduate,10,Female,2,West
No,29,75+,Some college,11,Female,1,West
No,56,75+,Some college,14,Female,0,West
No,34,75+,Less than highschool,10,Female,3,West
No,30,50-74,Less than highschool,12,Female,2,West
Yes,37,Less than 25,Highschool,8,Female,0,West
No,66,75+,Less than highschool,10,Female,2,West
Yes,52,75+,Less than highschool,9,Female,2,West
No,48,75+,Some college,14,Female,0,West
No,23,25-49,College,12,Female,0,West
No,47,50-74,Less than highschool,9,Female,0,West
No,48,50-74,Postgraduate,16,Female,3,West
No,53,25-49,Less than highschool,10,Female,2,West
No,56,50-74,College,4,Female,1,West
No,37,50-74,Highschool,14,Female,2,West
No,52,50-74,Postgraduate,13,Female,1,West
No,48,75+,Less than highschool,10,Female,2,West
No,36,50-74,Highschool,9,Female,1,West
Yes,43,25-49,College,12,Female,1,West
No,38,25-49,Some college,17,Female,0,West
No,41,75+,Highschool,7,Female,0,West
No,41,25-49,Less than highschool,3,Female,1,West
No,29,75+,College,8,Female,0,West
No,27,Less than 25,Highschool,9,Female,0,West
No,51,50-74,Highschool,9,Female,2,West
No,36,25-49,College,11,Female,1,West
No,53,75+,Some college,13,Female,0,West
No,56,75+,Less than highschool,8,Female,1,West
No,29,25-49,Less than highschool,6,Female,0,West
Yes,40,25-49,College,8,Female,0,West
No,55,75+,Postgraduate,14,Female,2,West
No,56,25-49,College,8,Female,2,West
No,45,25-49,Some college,9,Female,0,West
No,37,75+,Highschool,10,Female,0,West
No,33,Less than 25,Some college,14,Female,0,West
No,44,50-74,Some college,9,Female,2,West
No,33,75+,College,11,Female,1,West
No,31,25-49,Highschool,9,Female,1,West
No,43,25-49,Postgraduate,8,Female,0,West
No,32,75+,Less than highschool,11,Female,2,West
No,54,50-74,Postgraduate,6,Female,2,West
No,56,75+,Less than highschool,12,Female,2,West
No,51,75+,Highschool,10,Female,0,West
No,33,25-49,Postgraduate,8,Female,0,West
No,27,25-49,Postgraduate,10,Female,1,West
No,25,50-74,Postgraduate,7,Female,1,West
No,38,Less than 25,Less than highschool,9,Female,1,West
No,38,Less than 25,Some college,13,Female,0,West
No,50,25-49,College,10,Female,0,West
No,51,25-49,Postgraduate,7,Female,2,West
No,64,75+,Some college,11,Female,2,West
No,73,50-74,Highschool,13,Female,3,West
No,35,50-74,Some college,8,Female,0,West
No,55,75+,Less than highschool,7,Female,2,West
No,47,50-74,Some college,7,Female,1,West
No,38,75+,Postgraduate,13,Female,0,West
No,59,75+,Less than highschool,5,Female,2,West
No,57,75+,Some college,12,Female,1,West
No,41,25-49,Some college,11,Female,0,West
No,46,75+,Highschool,13,Female,0,West
No,32,25-49,Highschool,11,Female,2,West
No,43,25-49,College,9,Female,0,West
No,62,75+,College,10,Female,2,West
No,51,75+,Some college,14,Female,2,West
No,60,25-49,College,10,Female,0,West
Yes,40,75+,College,10,Female,0,West
No,40,Less than 25,College,7,Female,0,West
No,48,50-74,Less than highschool,13,Female,0,West
No,45,75+,Some college,13,Female,2,West
No,44,75+,Postgraduate,14,Female,2,West
No,25,Less than 25,College,12,Female,0,West
No,45,75+,Postgraduate,10,Female,0,West
No,39,50-74,Postgraduate,11,Female,2,West
No,48,75+,College,12,Female,2,West
No,63,50-74,Less than highschool,14,Female,2,West
No,31,Less than 25,Some college,3,Female,0,West
No,27,25-49,Some college,8,Female,0,West
No,33,50-74,Highschool,7,Female,0,West
No,45,75+,Some college,9,Female,2,West
No,47,75+,Postgraduate,9,Female,2,West
No,55,75+,College,9,Female,2,West
No,47,75+,Highschool,1,Female,2,West
No,53,75+,Less than highschool,8,Female,0,West
No,23,Less than 25,Highschool,13,Female,0,West
No,45,50-74,Highschool,10,Female,2,West
No,31,Less than 25,Some college,10,Female,0,West
No,55,Less than 25,College,9,Female,0,West
No,43,25-49,College,9,Female,2,West
Yes,34,25-49,Highschool,14,Female,1,West
No,46,75+,Less than highschool,16,Female,2,West
Yes,27,75+,Highschool,13,Female,1,West
No,25,Less than 25,Less than highschool,11,Female,0,West
No,50,75+,Highschool,8,Female,3,West
No,53,75+,Some college,7,Female,0,West
No,48,75+,College,4,Female,0,West
No,54,50-74,Highschool,10,Female,3,West
No,33,Less than 25,Some college,8,Female,0,West
No,51,Less than 25,Less than highschool,13,Female,0,West
No,29,25-49,College,9,Female,0,West
No,71,75+,Postgraduate,8,Female,2,West
No,62,50-74,Highschool,4,Female,3,West
No,42,75+,Postgraduate,8,Female,3,West
No,55,75+,Less than highschool,7,Female,2,West
No,44,75+,Some college,17,Female,0,West
No,58,25-49,Postgraduate,8,Female,0,West
No,30,Less than 25,Postgraduate,8,Female,0,West
No,43,50-74,Less than highschool,8,Female,2,West
No,40,50-74,Less than highschool,7,Female,2,West
No,46,25-49,Some college,9,Female,0,West
No,52,75+,Less than highschool,16,Female,2,West
No,34,Less than 25,Less than highschool,9,Female,0,West
No,52,75+,Highschool,14,Female,2,West
No,53,50-74,Postgraduate,4,Female,3,West
No,38,Less than 25,Highschool,6,Female,0,West
No,49,75+,College,10,Female,2,West
No,42,75+,Less than highschool,12,Female,0,West
Yes,26,Less than 25,Some college,6,Female,0,West
No,46,Less than 25,Highschool,12,Female,0,West
No,46,25-49,Postgraduate,13,Female,2,West
No,27,Less than 25,College,13,Female,0,West
No,53,25-49,Highschool,12,Female,1,West
No,61,50-74,Less than highschool,10,Female,0,West
No,46,75+,Less than highschool,8,Female,0,West
No,52,25-49,Less than highschool,12,Female,2,West
No,41,50-74,College,8,Female,2,West
No,56,50-74,Less than highschool,14,Female,0,West
No,44,25-49,Less than highschool,14,Female,0,West
No,38,Less than 25,Less than highschool,8,Female,0,West
Yes,47,Less than 25,College,11,Female,0,West
No,16,25-49,Postgraduate,11,Female,0,West
No,42,25-49,Postgraduate,12,Female,1,West
No,34,75+,Some college,2,Female,3,West
No,46,50-74,Highschool,11,Female,1,West
No,45,75+,Highschool,12,Female,2,West
No,48,75+,Some college,10,Female,2,West
No,49,75+,Highschool,12,Female,2,West
No,50,Less than 25,Some college,11,Female,0,West
No,26,25-49,Less than highschool,11,Female,1,West
No,30,Less than 25,Highschool,12,Female,0,West
No,47,75+,Highschool,5,Female,3,West
No,43,Less than 25,Some college,6,Female,0,West
No,21,Less than 25,College,16,Female,0,West
No,30,25-49,Postgraduate,14,Female,0,West
No,56,50-74,Less than highschool,10,Female,1,West
No,57,75+,Postgraduate,8,Female,1,West
No,45,50-74,Postgraduate,8,Female,1,West
No,36,25-49,Postgraduate,11,Female,0,West
No,43,75+,Postgraduate,5,Female,2,West
No,41,75+,Highschool,9,Female,3,West
No,17,Less than 25,Postgraduate,10,Female,0,West
No,63,50-74,Some college,8,Female,1,West
No,62,50-74,Some college,7,Female,1,West
No,49,75+,Highschool,9,Female,1,West
No,46,75+,Less than highschool,6,Female,0,West
No,44,75+,Less than highschool,14,Female,2,West
No,39,50-74,College,4,Female,1,West
No,41,75+,Postgraduate,15,Female,2,West
No,48,25-49,Less than highschool,8,Female,0,West
No,30,25-49,Postgraduate,5,Female,0,West
No,40,Less than 25,Some college,7,Female,0,West
No,52,75+,Some college,10,Female,2,West
No,47,25-49,Highschool,12,Female,2,West
No,50,75+,Highschool,9,Female,2,West
No,51,75+,Postgraduate,6,Female,2,West
No,44,50-74,College,11,Female,2,West
No,27,Less than 25,College,11,Female,0,West
No,56,50-74,Highschool,7,Female,3,West
No,57,50-74,Less than highschool,15,Female,1,West
No,43,75+,Some college,5,Female,2,West
No,36,50-74,Some college,10,Female,0,West
No,52,75+,College,8,Female,2,West
No,60,75+,College,8,Female,2,West
No,54,25-49,Less than highschool,11,Female,2,West
No,64,75+,Some college,13,Female,2,West
No,46,75+,College,11,Female,0,West
No,57,50-74,Less than highschool,8,Female,0,West
No,30,75+,Highschool,9,Female,2,West
No,42,25-49,Less than highschool,12,Female,1,West
No,50,50-74,Highschool,4,Female,3,West
No,45,Less than 25,Postgraduate,9,Female,0,West
No,53,50-74,Less than highschool,10,Female,2,West
No,37,Less than 25,Highschool,5,Female,0,West
No,57,75+,Highschool,2,Female,2,West
No,58,75+,Highschool,6,Female,2,West
No,51,25-49,Less than highschool,12,Female,1,West
No,57,75+,Postgraduate,7,Female,0,West
No,48,50-74,Some college,9,Female,3,West
No,60,75+,Postgraduate,6,Female,0,West
No,58,50-74,Less than highschool,13,Female,2,West
No,54,75+,Highschool,13,Female,0,West
No,27,25-49,Highschool,13,Female,0,West
No,40,50-74,Postgraduate,1,Female,1,West
No,47,75+,College,12,Female,0,West
No,51,75+,Postgraduate,10,Female,1,West
No,60,50-74,Highschool,13,Female,2,West
No,46,Less than 25,Some college,12,Female,0,West
No,44,50-74,Highschool,10,Female,1,West
No,38,Less than 25,Less than highschool,7,Female,0,West
No,38,25-49,Less than highschool,8,Female,1,West
No,50,75+,Postgraduate,10,Female,0,West
No,33,25-49,Postgraduate,12,Female,1,West
No,44,75+,Some college,5,Female,2,West
No,33,Less than 25,Highschool,10,Female,0,West
No,39,75+,Less than highschool,13,Female,2,West
No,48,50-74,Some college,11,Female,3,West
No,52,75+,College,10,Female,2,West
No,31,50-74,College,12,Female,0,West
No,40,Less than 25,Highschool,8,Female,0,West
No,48,25-49,Postgraduate,10,Female,1,West
No,67,25-49,Less than highschool,10,Female,2,West
No,50,75+,Some college,7,Female,2,West
No,41,75+,Postgraduate,8,Female,0,West
No,43,25-49,College,7,Female,0,West
No,49,50-74,Some college,11,Female,2,West
No,65,25-49,Postgraduate,12,Female,2,West
No,40,25-49,Highschool,15,Female,1,West
No,22,25-49,Highschool,8,Female,0,West
No,35,75+,College,13,Female,4,West
No,28,25-49,College,13,Female,1,West
No,18,Less than 25,Less than highschool,10,Female,0,West
No,50,75+,Postgraduate,12,Female,1,West
No,42,25-49,College,17,Female,2,West
No,38,Less than 25,College,6,Female,1,West
No,60,50-74,Postgraduate,14,Female,0,West
No,53,50-74,Postgraduate,9,Female,0,West
No,36,50-74,College,9,Female,0,West
No,47,75+,Highschool,7,Female,2,West
No,57,50-74,Highschool,11,Female,3,West
No,16,25-49,Some college,9,Female,0,West
No,18,Less than 25,Postgraduate,8,Female,0,West
No,49,75+,Highschool,15,Female,2,West
No,63,75+,College,17,Female,2,West
No,76,75+,Postgraduate,9,Female,2,West
No,52,75+,College,8,Female,2,West
No,67,75+,College,10,Female,2,West
No,44,75+,Highschool,5,Female,0,West
No,48,50-74,Less than highschool,6,Female,2,West
No,30,Less than 25,College,10,Female,1,West
No,41,25-49,College,17,Female,0,West
No,60,75+,Highschool,11,Female,3,West
No,31,25-49,Highschool,6,Female,2,West
No,66,25-49,Postgraduate,15,Female,0,West
No,56,25-49,Less than highschool,10,Female,0,West
No,74,50-74,Some college,9,Female,2,West
No,34,75+,Some college,6,Female,1,West
No,58,50-74,Less than highschool,8,Female,2,West
No,50,75+,College,6,Female,2,West
No,48,75+,Less than highschool,4,Female,1,West
No,43,25-49,College,14,Female,1,West
No,52,25-49,Less than highschool,5,Female,0,West
No,59,75+,Some college,9,Female,2,West
No,45,50-74,Less than highschool,12,Female,2,West
No,50,50-74,Less than highschool,10,Female,2,West
No,63,50-74,College,13,Female,1,West
No,40,50-74,Less than highschool,9,Female,0,West
No,53,50-74,Postgraduate,8,Female,2,West
No,48,75+,Highschool,8,Female,3,West
No,35,50-74,Postgraduate,15,Female,0,West
No,57,75+,Some college,12,Female,2,West
No,36,75+,Postgraduate,10,Female,0,West
No,44,75+,Postgraduate,10,Female,0,West
No,37,Less than 25,College,7,Female,0,West
Yes,58,75+,College,8,Female,2,West
No,57,75+,Highschool,9,Female,2,West
No,46,Less than 25,Less than highschool,7,Female,0,West
No,49,50-74,Highschool,13,Female,2,West
No,40,Less than 25,Highschool,13,Female,1,West
No,51,50-74,College,6,Female,4,West
No,49,25-49,Less than highschool,6,Female,2,West
No,21,Less than 25,Highschool,11,Female,0,West
No,60,75+,Highschool,11,Female,2,West
No,48,50-74,Postgraduate,8,Female,2,West
No,41,75+,College,9,Female,2,West
No,60,50-74,College,10,Female,2,West
No,49,Less than 25,Some college,10,Female,0,West
No,51,25-49,College,12,Female,0,West
No,20,Less than 25,Postgraduate,15,Female,0,West
No,49,50-74,College,4,Female,0,West
No,52,50-74,Less than highschool,10,Female,0,West
No,49,50-74,Postgraduate,8,Female,1,West
No,52,50-74,College,7,Female,1,West
No,43,25-49,Some college,15,Female,2,West
No,46,50-74,College,7,Female,2,West
No,65,50-74,Highschool,7,Female,2,West
No,56,50-74,Postgraduate,9,Female,2,West
No,28,Less than 25,College,12,Female,0,West
No,56,25-49,Less than highschool,11,Female,2,West
No,33,50-74,Less than highschool,9,Female,1,West
No,44,50-74,Some college,8,Female,2,West
No,53,25-49,Less than highschool,15,Female,0,West
No,40,25-49,Highschool,11,Female,1,West
No,37,75+,Some college,10,Female,2,West
No,62,50-74,Less than highschool,9,Female,2,West
No,42,25-49,Less than highschool,10,Female,1,West
No,56,25-49,Less than highschool,9,Female,0,West
No,36,25-49,Highschool,5,Female,2,West
No,69,75+,Highschool,7,Female,2,West
No,57,50-74,Postgraduate,9,Female,2,West
No,32,25-49,Highschool,14,Female,0,West
No,43,25-49,Highschool,9,Female,2,West
No,34,25-49,College,15,Female,0,West
No,40,Less than 25,Less than highschool,9,Female,0,West
No,38,Less than 25,Some college,10,Female,0,West
No,52,75+,Highschool,7,Female,0,West
No,55,75+,Highschool,13,Female,2,West
No,36,25-49,Highschool,10,Female,1,West
No,50,25-49,College,10,Female,1,West
No,48,75+,Postgraduate,12,Female,0,West
No,54,50-74,College,12,Female,0,West
No,49,25-49,Highschool,12,Female,1,West
No,37,Less than 25,Some college,12,Female,0,West
No,60,75+,Some college,5,Female,0,West
No,20,25-49,College,8,Female,1,West
No,38,25-49,Postgraduate,6,Female,0,West
No,55,25-49,Some college,16,Female,2,West
No,69,75+,Highschool,9,Female,1,West
No,28,Less than 25,Less than highschool,8,Female,1,West
No,53,75+,Less than highschool,14,Female,2,West
No,49,75+,Less than highschool,11,Female,2,West
No,41,50-74,Less than highschool,7,Female,2,West
No,47,25-49,College,9,Female,1,West
No,43,75+,Highschool,7,Female,2,West
No,31,75+,Postgraduate,9,Female,0,West
No,34,50-74,College,9,Female,0,West
No,42,25-49,Some college,10,Female,1,West
No,22,Less than 25,Some college,8,Female,0,West
No,50,25-49,Highschool,10,Female,2,West
No,52,75+,Highschool,13,Female,0,West
No,21,25-49,Postgraduate,12,Female,1,West
No,28,Less than 25,Highschool,10,Female,0,West
No,41,75+,Highschool,6,Female,0,West
No,37,50-74,Less than highschool,9,Female,1,West
No,41,75+,Less than highschool,5,Female,0,West
No,34,50-74,Postgraduate,9,Female,0,West
No,42,75+,Some college,12,Female,0,West
No,30,Less than 25,Highschool,15,Female,1,West
No,25,Less than 25,College,12,Female,0,West
No,63,75+,Highschool,8,Female,1,West
No,54,50-74,Highschool,10,Female,3,West
No,69,75+,Some college,9,Female,2,West
No,53,75+,Postgraduate,10,Female,2,West
No,35,50-74,Less than highschool,12,Female,1,West
No,45,25-49,College,8,Female,2,West
No,43,50-74,College,13,Female,2,West
No,45,50-74,Some college,7,Female,2,West
No,53,25-49,Less than highschool,8,Female,0,West
No,38,25-49,Postgraduate,6,Female,1,West
No,61,75+,College,4,Female,0,West
No,39,25-49,Some college,13,Female,0,West
Yes,35,75+,College,8,Female,1,West
No,49,25-49,College,14,Female,0,West
No,24,Less than 25,Some college,21,Female,0,West
No,45,75+,College,13,Female,0,West
No,17,Less than 25,Less than highschool,6,Female,0,West
No,48,25-49,Postgraduate,14,Female,1,West
No,42,25-49,College,16,Female,0,West
No,36,25-49,College,6,Female,0,West
No,55,75+,Less than highschool,11,Female,2,West
Yes,47,75+,Highschool,13,Female,0,West
No,60,75+,Some college,10,Female,0,West
No,51,Less than 25,Less than highschool,11,Female,0,West
Yes,31,75+,Highschool,4,Female,2,West
No,45,25-49,Some college,14,Female,0,West
No,44,50-74,College,10,Female,1,West
No,50,75+,Postgraduate,10,Female,2,West
No,33,25-49,Postgraduate,8,Female,0,West
No,43,25-49,College,3,Female,2,West
No,62,50-74,Postgraduate,10,Female,2,West
No,41,75+,College,14,Female,2,West
No,49,50-74,College,8,Female,0,West
No,50,75+,College,14,Female,0,West
No,47,75+,Less than highschool,10,Female,0,West
No,27,50-74,Some college,8,Female,0,West
No,68,75+,Less than highschool,10,Female,2,West
No,64,50-74,Less than highschool,8,Female,2,West
No,60,50-74,Highschool,12,Female,3,West
No,53,50-74,Postgraduate,8,Female,1,West
No,47,75+,Postgraduate,7,Female,2,West
No,40,50-74,College,9,Female,2,West
No,58,25-49,Highschool,11,Female,0,West
No,56,75+,Some college,7,Female,2,West
No,51,50-74,Postgraduate,8,Female,4,West
No,30,75+,Some college,8,Female,1,West
No,60,75+,College,10,Female,2,West
No,38,50-74,Highschool,13,Female,0,West
No,39,25-49,Postgraduate,9,Female,1,West
No,37,Less than 25,Highschool,7,Female,1,West
No,58,25-49,Some college,9,Female,0,West
No,23,25-49,Less than highschool,5,Female,1,West
No,36,25-49,College,7,Female,0,West
No,49,50-74,Highschool,12,Female,2,West
No,33,25-49,College,4,Female,0,West
No,66,50-74,Postgraduate,12,Female,2,West
No,41,25-49,College,9,Female,0,West
No,53,50-74,Less than highschool,10,Female,0,West
No,45,75+,College,8,Female,0,West
No,58,75+,Postgraduate,6,Female,0,West
No,66,75+,Postgraduate,13,Female,2,West
No,45,75+,Some college,14,Female,2,West
No,36,50-74,Some college,2,Female,0,West
No,60,50-74,Highschool,8,Female,3,West
No,41,75+,Less than highschool,9,Female,0,West
No,39,25-49,Highschool,11,Female,0,West
Yes,38,50-74,Highschool,13,Female,1,West
No,41,50-74,Postgraduate,12,Female,2,West
No,57,25-49,Less than highschool,9,Female,0,West
No,23,25-49,Postgraduate,7,Female,1,West
No,38,25-49,Less than highschool,9,Female,1,West
No,27,Less than 25,Less than highschool,13,Female,0,West
No,24,Less than 25,College,7,Female,0,West
No,38,50-74,College,5,Female,3,West
No,31,25-49,Some college,12,Female,0,West
No,38,Less than 25,Postgraduate,6,Female,0,West
No,49,75+,Highschool,10,Female,0,West
No,19,25-49,Highschool,10,Female,0,West
No,29,Less than 25,Postgraduate,10,Female,0,West
No,58,75+,Less than highschool,9,Female,2,West
No,68,50-74,College,7,Female,2,West
No,43,75+,Highschool,11,Female,1,West
Yes,52,75+,Postgraduate,7,Female,1,West
No,52,75+,Some college,6,Female,2,West
No,28,Less than 25,Less than highschool,11,Female,0,West
No,43,75+,Highschool,12,Female,0,West
No,60,Less than 25,College,12,Female,0,West
No,29,Less than 25,Postgraduate,6,Female,0,West
No,21,25-49,Some college,10,Female,0,West
No,45,75+,Postgraduate,7,Female,0,West
No,48,75+,Less than highschool,14,Female,0,West
No,51,25-49,Some college,12,Female,1,West
No,39,Less than 25,College,13,Female,0,West
No,50,50-74,Less than highschool,17,Female,1,West
No,39,Less than 25,Highschool,6,Female,1,West
No,49,25-49,Postgraduate,7,Female,2,West
No,59,75+,Some college,12,Female,2,West
No,46,25-49,Less than highschool,8,Female,1,West
No,50,75+,Highschool,6,Female,2,West
No,44,25-49,Less than highschool,4,Female,2,West
No,36,Less than 25,College,10,Female,1,West
No,56,25-49,Some college,7,Female,0,West
No,43,75+,Less than highschool,7,Female,0,West
No,39,75+,Less than highschool,8,Female,0,West
No,45,50-74,Less than highschool,10,Female,0,West
No,50,25-49,Less than highschool,8,Female,2,West
No,45,Less than 25,Postgraduate,8,Female,0,West
No,54,75+,Highschool,8,Female,3,West
No,60,75+,College,14,Female,2,West
No,59,50-74,Highschool,4,Female,3,West
No,52,75+,Less than highschool,12,Female,2,West
No,35,50-74,Postgraduate,13,Female,0,West
No,38,Less than 25,Less than highschool,11,Female,1,West
No,29,Less than 25,Highschool,12,Female,0,West
No,80,75+,College,11,Female,2,West
No,41,75+,Some college,8,Female,2,West
No,52,50-74,College,10,Female,2,West
No,56,25-49,Highschool,7,Female,0,West
No,59,25-49,Less than highschool,13,Female,1,West
No,62,75+,College,12,Female,2,West
Yes,64,50-74,Less than highschool,13,Female,2,West
No,45,25-49,College,13,Female,1,West
No,45,75+,Postgraduate,13,Female,2,West
No,63,25-49,Some college,10,Female,2,West
No,39,75+,College,9,Female,0,West
No,30,Less than 25,Postgraduate,12,Female,0,West
No,65,50-74,College,9,Female,0,West
No,61,25-49,Less than highschool,14,Female,0,West
No,57,25-49,Postgraduate,10,Female,0,West
No,30,50-74,Postgraduate,7,Female,2,West
No,36,Less than 25,Some college,12,Female,0,West
No,49,50-74,Less than highschool,9,Female,0,West
Yes,44,25-49,Postgraduate,16,Female,0,West
No,54,50-74,Highschool,4,Female,2,West
No,51,75+,Highschool,5,Female,2,West
No,30,Less than 25,College,14,Female,0,West
No,45,75+,College,16,Female,2,West
No,40,50-74,Postgraduate,11,Female,0,West
No,24,75+,Highschool,7,Female,0,West
No,52,75+,Less than highschool,5,Female,0,West
No,60,75+,Some college,9,Female,2,West
No,25,25-49,College,10,Female,0,West
No,60,75+,College,6,Female,0,West
No,37,25-49,Less than highschool,6,Female,1,West
No,43,75+,Highschool,12,Female,2,West
No,37,50-74,Some college,10,Female,2,West
No,43,50-74,Less than highschool,7,Female,4,West
No,35,25-49,Postgraduate,13,Female,0,West
No,48,25-49,Postgraduate,10,Female,2,West
No,40,Less than 25,College,6,Female,0,West
No,39,75+,College,12,Female,0,West
No,48,50-74,Less than highschool,7,Female,0,West
No,32,Less than 25,Postgraduate,6,Female,0,West
No,41,25-49,Postgraduate,5,Female,1,West
No,65,25-49,Postgraduate,3,Female,0,West
No,74,75+,College,12,Female,2,West
No,65,75+,Highschool,3,Female,3,West
No,40,25-49,Some college,9,Female,1,West
No,25,25-49,Less than highschool,7,Female,0,West
No,53,50-74,Some college,10,Female,2,West
No,41,25-49,Less than highschool,9,Female,0,West
No,51,25-49,Highschool,9,Female,2,West
No,48,25-49,Postgraduate,9,Female,1,West
No,44,25-49,College,11,Female,1,West
No,45,75+,Some college,12,Female,0,West
No,43,75+,College,16,Female,2,West
No,43,25-49,Some college,9,Female,0,West
No,50,75+,Highschool,8,Female,0,West
No,63,75+,Less than highschool,11,Female,2,West
No,24,Less than 25,Highschool,13,Female,0,West
No,53,50-74,College,14,Female,1,West
No,52,25-49,Less than highschool,7,Female,2,West
No,51,25-49,Postgraduate,9,Female,2,West
No,41,50-74,Some college,8,Female,1,West
No,49,75+,College,19,Female,0,West
No,42,75+,Some college,12,Female,2,West
No,40,Less than 25,Less than highschool,4,Female,1,West
No,42,50-74,Postgraduate,15,Female,0,West
No,32,50-74,Highschool,15,Female,1,West
No,44,50-74,Some college,16,Female,1,West
No,49,25-49,College,13,Female,2,West
No,56,50-74,Less than highschool,9,Female,0,West
No,41,Less than 25,Highschool,11,Female,0,West
No,64,50-74,Highschool,11,Female,2,West
No,28,Less than 25,College,9,Female,1,West
Yes,54,75+,Some college,12,Female,1,West
Yes,27,Less than 25,College,3,Female,0,West
No,45,50-74,Some college,5,Female,2,West
No,50,25-49,Some college,12,Female,0,West
Yes,42,75+,Highschool,11,Female,2,West
No,50,50-74,Postgraduate,11,Female,2,West
No,52,75+,College,7,Female,2,West
No,33,Less than 25,Postgraduate,12,Female,0,West
No,53,50-74,Some college,12,Female,2,West
No,56,75+,Postgraduate,12,Female,0,West
No,59,75+,College,8,Female,2,West
No,31,25-49,Postgraduate,7,Female,0,West
No,55,25-49,Less than highschool,7,Female,1,West
No,30,50-74,Highschool,8,Female,0,West
No,37,25-49,Less than highschool,11,Female,1,West
No,31,Less than 25,Less than highschool,5,Female,0,West
No,48,25-49,Highschool,10,Female,0,West
No,58,75+,Some college,13,Female,0,West
No,55,75+,Less than highschool,10,Female,2,West
No,56,75+,Highschool,9,Female,2,West
No,38,Less than 25,Less than highschool,11,Female,1,West
No,43,75+,Postgraduate,9,Female,2,West
No,40,50-74,Some college,5,Female,2,West
No,37,Less than 25,College,6,Female,0,West
No,44,75+,Some college,6,Female,1,West
No,49,50-74,Some college,8,Female,2,West
No,48,75+,Some college,12,Female,2,West
